CASE_NAME,INTEGRATION_D,INTEGRATION_R,INTEGRATION_G,JSC,JSC/INT_D,INT_R/INT_D,INT_D/INT_G,PASS TEST?
t1/40x40/test00530,4.25053226278e+27,6.460394547030001e+26,6.2009193419e+27,8.0151,0.874659525335,0.151990248443,0.685468077939,y
t1/40x40/test00540,4.25053226278e+27,6.460394547030001e+26,6.2009193419e+27,8.0151,0.874659525335,0.151990248443,0.685468077939,y
t1/40x40/test00550,4.25053226278e+27,6.460394547030001e+26,6.2009193419e+27,8.0151,0.874659525335,0.151990248443,0.685468077939,y
t1/40x40/test00560,4.25053226278e+27,6.460394547030001e+26,6.2009193419e+27,8.0151,0.874659525335,0.151990248443,0.685468077939,y
t1/40x40/test00570,4.25053226278e+27,6.460394547030001e+26,6.2009193419e+27,8.0151,0.874659525335,0.151990248443,0.685468077939,y
t1/40x40/test00580,4.25053226278e+27,6.460394547030001e+26,6.2009193419e+27,8.0151,0.874659525335,0.151990248443,0.685468077939,y
t1/40x40/test00590,4.49001108591e+27,9.616075031659999e+26,6.19688388554e+27,7.87014,0.8130335113839999,0.214165952972,0.724559499388,y
t1/40x40/test00600,4.62336204537e+27,1.0959696459499999e+27,6.17925775434e+27,7.78616,0.781157887688,0.237050361854,0.748206698789,y
t1/40x40/test00610,4.62336204537e+27,1.0959696459499999e+27,6.17925775434e+27,7.78616,0.781157887688,0.237050361854,0.748206698789,y
t1/40x40/test00620,4.62336204537e+27,1.0959696459499999e+27,6.17925775434e+27,7.78616,0.781157887688,0.237050361854,0.748206698789,y
t1/40x40/test00630,4.62336204537e+27,1.0959696459499999e+27,6.17925775434e+27,7.78616,0.781157887688,0.237050361854,0.748206698789,y
t1/40x40/test00640,4.62336204537e+27,1.0959696459499999e+27,6.17925775434e+27,7.78616,0.781157887688,0.237050361854,0.748206698789,y
t1/40x40/test00650,4.62336204537e+27,1.0959696459499999e+27,6.17925775434e+27,7.78616,0.781157887688,0.237050361854,0.748206698789,y
